name,link,price,review_count,review_percentage,game_tags,Review_Category
Green Hell,https://store.steampowered.com/app/815370/Green_Hell/?snr=1_7_7_230_150_6,13.38,50201,85,"['Open World Survival Craft', 'Survival', 'Multiplayer', 'Online Co-Op', 'Open World', 'Crafting', 'Action', 'Base Building', 'Singleplayer', 'Adventure', 'Exploration', 'Co-op', 'Sandbox', 'Simulation', 'Atmospheric', 'Survival Horror', 'First-Person', 'Building', 'Realistic', 'Action-Adventure']",25000-100000
Balatro,https://store.steampowered.com/app/2379780/Balatro/?snr=1_7_7_230_150_7,7.99,34234,97,"['Roguelike Deckbuilder', 'Card Game', 'Deckbuilding', 'Roguelike', 'Singleplayer', 'Strategy', 'Turn-Based', 'Card Battler', 'Choices Matter', 'Replay Value', 'Pixel Graphics', 'Roguelite', 'Casual', 'Turn-Based Strategy', 'Difficult', '2D', 'Simulation', 'Arcade', 'Relaxing', 'Procedural Generation']",25000-100000
Far Cry® Primal,https://store.steampowered.com/app/371660/Far_Cry_Primal/?snr=1_7_7_230_150_7,23.99,27679,88,"['Open World', 'Survival', 'Action', 'Adventure', 'Hunting', 'First-Person', 'Singleplayer', 'Open World Survival Craft', 'Crafting', 'Exploration', 'FPS', 'Stealth', 'Atmospheric', 'Mature', 'Shooter', 'RPG', 'Action RPG', 'Strategy', 'Online Co-Op', 'Sexual Content']",25000-100000
The Last of Us™ Part I,https://store.steampowered.com/app/1888930/The_Last_of_Us_Part_I/?snr=1_7_7_230_150_7,59.99,30111,86,"['Shooter', 'Story Rich', 'Post-apocalyptic', 'Third-Person Shooter', 'Horror', 'Action-Adventure', 'Third Person', 'Survival', 'Zombies', 'Thriller', 'Action', 'Emotional', 'Atmospheric', 'Adventure', 'Cinematic', 'Survival Horror', 'Drama', 'Singleplayer', 'Remake', 'Soundtrack']",25000-100000
ICARUS,https://store.steampowered.com/app/1149460/ICARUS/?snr=1_7_7_230_150_7,17.99,31086,80,"['Survival', 'Open World Survival Craft', 'Multiplayer', 'Base Building', 'Online Co-Op', 'Crafting', 'Exploration', 'Open World', 'Building', 'Co-op', 'First-Person', 'PvE', 'Space', 'Realistic', 'Mining', 'Third Person', 'Sandbox', 'Adventure', 'Nature', 'Science']",25000-100000
The Outlast Trials,https://store.steampowered.com/app/1304930/The_Outlast_Trials/?snr=1_7_7_230_150_8,18.99,41503,90,"['Horror', 'Multiplayer', 'Co-op', 'Survival Horror', 'Psychological Horror', 'First-Person', 'PvE', 'Character Customization', 'Stealth', 'Action-Adventure', 'Action', 'Survival', 'Dark Humor', 'Alternate History', 'Dark', 'Realistic', 'Atmospheric', 'Science', 'Adventure', 'Management']",25000-100000
Warhammer: Vermintide 2,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_230_150_8,14.99,78046,84,"['Hack and Slash', 'Games Workshop', 'Online Co-Op', 'Gore', 'Dark Fantasy', 'First-Person', 'PvE', 'Co-op', 'Roguelite', 'Multiplayer', 'Dwarf', 'RPG', 'Action', 'Elf', 'Combat', 'FPS', 'Action RPG', 'Atmospheric', 'Singleplayer', 'Adventure']",25000-100000
Party Animals,https://store.steampowered.com/app/1260320/Party_Animals/?snr=1_7_7_230_150_8,13.49,34932,83,"['Casual', 'Multiplayer', 'Funny', 'Cute', 'Party Game', 'Action', 'Fighting', 'PvP', 'Co-op', 'Party', 'Family Friendly', 'Online Co-Op', 'Physics', '3D Fighter', 'Local Multiplayer', '4 Player Local', 'Indie', 'Team-Based', 'Local Co-Op', 'Action-Adventure']",25000-100000
Granblue Fantasy: Relink,https://store.steampowered.com/app/881020/Granblue_Fantasy_Relink/?snr=1_7_7_230_150_8,39.99,29982,79,"['Anime', 'Action', 'JRPG', 'Action RPG', 'Online Co-Op', 'Multiplayer', 'Fantasy', 'RPG', 'Third Person', 'Female Protagonist', 'Singleplayer', 'Spectacle fighter', '3D', 'Controller', 'Hack and Slash', 'Dragons', 'Magic', 'PvE', 'Tutorial', 'Swordplay']",25000-100000
Total War: ROME II - Emperor Edition,https://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition/?snr=1_7_7_230_150_8,26.99,47029,89,"['Strategy', 'Historical', 'Turn-Based Strategy', 'Grand Strategy', 'Rome', 'Tactical', 'Multiplayer', 'War', 'Real Time Tactics', 'RTS', 'Turn-Based', 'Singleplayer', 'Online Co-Op', 'Simulation', 'Turn-Based Tactics', 'Co-op', 'Moddable', 'Action', 'Atmospheric', 'Education']",25000-100000
