name,link,price,review_count,review_percentage,game_tags,Review_Category
Car For Sale Simulator 2023,https://store.steampowered.com/app/2248760/Car_For_Sale_Simulator_2023/?snr=1_7_7_230_150_7,3.99,12572,82,"['Driving', 'Immersive Sim', 'Trading', 'Automobile Sim', 'FPS', 'Simulation', 'Life Sim', '3D', 'First-Person', 'Open World', 'Conversation', 'Realistic', 'Family Friendly', 'Multiplayer', 'Cinematic', 'America', 'Singleplayer', 'Modern', 'Early Access', 'Inventory Management']",5000-25000
TEKKEN 8,https://store.steampowered.com/app/1778820/TEKKEN_8/?snr=1_7_7_230_150_8,44.99,20439,54,"['Fighting', 'Action', '3D Fighter', 'Multiplayer', 'eSports', 'Local Multiplayer', 'Arcade', 'PvP', 'Singleplayer', 'Casual', 'Competitive', 'Great Soundtrack', 'Anime', 'Character Customization', 'Difficult', 'Martial Arts', 'Story Rich', 'Controller', 'Sexual Content', 'Horror']",5000-25000
Infection Free Zone,https://store.steampowered.com/app/1465460/Infection_Free_Zone/?snr=1_7_7_230_150_8,12.49,7340,75,"['Early Access', 'Base Building', 'Post-apocalyptic', 'City Builder', 'Strategy', 'Simulation', 'Zombies', 'Management', 'Outbreak Sim', 'RTS', 'Sandbox', 'Colony Sim', 'Survival', 'Time Management', 'Immersive Sim', '3D', 'Singleplayer', 'Minimalist', 'Atmospheric', 'Dark']",5000-25000
"Warhammer 40,000: Rogue Trader",https://store.steampowered.com/app/2186680/Warhammer_40000_Rogue_Trader/?snr=1_7_7_230_150_8,24.99,11549,81,"['Choices Matter', 'Co-op Campaign', 'Games Workshop', 'Open World', 'Dark Fantasy', 'Tabletop', 'CRPG', 'Warhammer 40K', 'Character Customization', 'Turn-Based Combat', 'Story Rich', 'RPG', 'Adventure', 'Fantasy', 'Online Co-Op', 'Romance', 'Isometric', 'Strategy RPG', 'Turn-Based Strategy', 'Collectathon']",5000-25000
Gas Station Simulator,https://store.steampowered.com/app/1149620/Gas_Station_Simulator/?snr=1_7_7_230_150_8,5.73,19148,93,"['Simulation', 'Economy', 'Building', 'Singleplayer', 'Indie', 'Base Building', 'Realistic', 'First-Person', 'Management', 'Relaxing', 'Open World', 'Crafting', 'Casual', 'Funny', 'Design & Illustration', 'Memes', 'Multiplayer', 'Family Friendly', 'Destruction', 'Choices Matter']",5000-25000
WARNO,https://store.steampowered.com/app/1611600/WARNO/?snr=1_7_7_230_150_8,39.99,8029,78,"['Wargame', 'Real Time Tactics', 'Military', 'Cold War', 'Turn-Based Strategy', 'RTS', 'War', 'Tanks', 'Historical', 'Strategy', 'PvP', 'Simulation', 'Realistic', 'Tactical', '1980s', 'Co-op', 'Massively Multiplayer', 'Multiplayer', 'Moddable', 'Bullet Time']",5000-25000
Company of Heroes 3,https://store.steampowered.com/app/1677280/Company_of_Heroes_3/?snr=1_7_7_230_150_8,49.99,14524,65,"['Strategy', 'Wargame', 'RTS', 'Action RTS', 'Real Time Tactics', 'World War II', 'PvP', 'Turn-Based Tactics', 'Historical', 'Top-Down', 'Turn-Based Strategy', 'Military', 'Action', 'Choices Matter', 'Tactical', 'Turn-Based Combat', 'War', 'Singleplayer', 'Multiplayer', 'Cinematic']",5000-25000
The Coffin of Andy and Leyley,https://store.steampowered.com/app/2378900/The_Coffin_of_Andy_and_Leyley/?snr=1_7_7_230_150_9,4.99,17525,96,"['Psychological', 'Dark Comedy', 'Story Rich', 'Multiple Endings', 'Dark', 'Choices Matter', 'Singleplayer', 'Horror', 'Demons', 'Adventure', 'Drama', 'Hand-drawn', 'RPGMaker', 'Visual Novel', 'Puzzle', 'Female Protagonist', 'Stylized', 'RPG', 'Early Access', 'Exploration']",5000-25000
Escape Simulator,https://store.steampowered.com/app/1435790/Escape_Simulator/?snr=1_7_7_230_150_9,8.99,12464,90,"['Puzzle', 'Co-op', 'Multiplayer', 'Escape Room', 'First-Person', 'Adventure', 'Controller', 'Mystery', 'Casual', 'Family Friendly', 'Online Co-Op', 'Indie', 'Singleplayer', 'Simulation', 'Story Rich', 'Point & Click', 'Exploration', 'Level Editor', 'Investigation', 'VR']",5000-25000
House Flipper 2,https://store.steampowered.com/app/1190970/House_Flipper_2/?snr=1_7_7_230_150_9,23.99,6246,78,"['Simulation', 'Building', 'Design & Illustration', 'Casual', 'Relaxing', 'Sandbox', 'Destruction', 'Family Friendly', 'Immersive Sim', 'First-Person', 'Education', '3D', 'Indie', 'Management', 'Base Building', 'Singleplayer', 'Colorful', 'Replay Value', 'Economy', 'Realistic']",5000-25000
